lat,lon
26.2765,73.0016
26.2768,73.0013
26.2769,73.0012
26.2764,73.0008
26.2761,73.0005
26.2762,73.0004
26.2756,72.9999
26.2751,72.9995
26.2748,72.9992
26.2741,72.9986
26.2741,72.9986
26.2741,72.9986
26.2741,72.9985
26.274,72.9984
26.2739,72.9983
26.2738,72.9981
26.2736,72.9979
26.2735,72.9977
26.2733,72.9975
26.2733,72.9974
26.2731,72.9973
26.273,72.9972
26.273,72.9971
26.2728,72.9969
26.2728,72.9968
26.2725,72.9964
26.2721,72.9959
26.2718,72.9955
26.2717,72.9955
26.2715,72.9952
26.2713,72.995
26.271,72.9945
26.271,72.9945
26.2702,72.9934
26.27,72.9932
26.2699,72.993
26.2696,72.9927
26.2694,72.9924
26.2692,72.9921
26.2689,72.9918
26.2687,72.9914
26.2686,72.9914
26.2686,72.9913
26.2684,72.9911
26.2683,72.991
26.2682,72.9908
26.268,72.9905
26.2679,72.9904
26.2677,72.9901
26.2674,72.9898
26.2675,72.9896
26.2675,72.9896
26.2675,72.9895
26.2672,72.989
26.267,72.9888
26.267,72.9887
26.2668,72.9884
26.2668,72.9882
26.266,72.9868
26.266,72.9866
26.2659,72.9865
26.2658,72.9863
26.2655,72.9861
26.2654,72.986
26.2651,72.9857
26.265,72.9856
26.2649,72.9855
26.2648,72.9853
26.2647,72.9852
26.2645,72.9848
26.2643,72.9846
26.2643,72.9846
26.2642,72.9844
26.2641,72.9843
26.2641,72.9843
26.264,72.9841
26.264,72.984
26.2639,72.9837
26.2639,72.9834
26.2639,72.9834
26.2639,72.9833
26.2638,72.9832
26.2638,72.9832
26.2637,72.9831
26.2637,72.983
26.2637,72.9829
26.2637,72.9829
26.2636,72.9827
26.2636,72.9826
26.2636,72.982
26.2636,72.9816
26.2623,72.9816
26.2623,72.9812
26.2623,72.9808
26.2623,72.98
26.2623,72.9795
26.2622,72.9795
26.2621,72.9795
26.2621,72.9795
26.262,72.9794
26.2619,72.9792
26.2616,72.9787
26.2614,72.9782
26.2613,72.9781
26.2612,72.978
26.2611,72.9778
26.2604,72.9771
26.2603,72.977
26.26,72.9767
26.2604,72.9767
26.2606,72.9766
26.2607,72.9766
26.2607,72.9766
26.2607,72.9765
26.2607,72.9765
26.2607,72.9763
26.2606,72.9761
26.2604,72.9754
26.2602,72.975
26.26,72.9747
26.2598,72.9744
26.2595,72.9741
26.2594,72.9739
26.2591,72.9735
26.2594,72.9733
26.2592,72.9729
26.259,72.9727
26.2588,72.9725
26.2587,72.9722
26.2585,72.972
26.2583,72.9717
26.2582,72.9715
26.2585,72.9712
